Accession,FullDescription,Description,Species,Biological Process,Cellular Component,Molecular Function,WikiPathways,Reactome Pathways,KEGG Pathways
Q15582,Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1,Transforming growth factor-beta-induced protein ig-h3,Homo sapiens,cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes,non-structural extracellular;extracellular matrix;plasma membrane;other membranes;ER/Golgi,signal transduction activity or receptor binding;extracellular structural activity;other molecular function,,Amyloid fiber formation,
P23142,Fibulin-1 OS=Homo sapiens OX=9606 GN=FBLN1 PE=1 SV=4,Fibulin-1,Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;other biological processes,non-structural extracellular;extracellular matrix,signal transduction activity or receptor binding;enzyme regulator activity;extracellular structural activity;other molecular function,,Molecules associated with elastic fibres,
P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2,Protein-glutamine gamma-glutamyltransferase 2,Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,extracellular matrix;plasma membrane;other membranes;cytosol;mitochondrion;ER/Golgi;nucleus;other cell component,other molecular function,IL-18 signaling pathway,,Huntington disease
P04275,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,von Willebrand factor,Homo sapiens,cell adhesion;cell organization and biogenesis;protein metabolism;stress response;transport;other biological processes,non-structural extracellular;extracellular matrix;ER/Golgi;other cell component,signal transduction activity or receptor binding;other molecular function,Blood clotting cascade; Focal adhesion; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; 22q11.2 copy number variation syndrome; Complement and coagulation cascades,Platelet degranulation ; Intrinsic Pathway of Fibrin Clot Formation; Integrin cell surface interactions; Signaling by BRAF and RAF1 fusions; Signaling by moderate kinase activity BRAF mutants; Paradoxical activation of RAF signaling by kinase inactive BRAF; Signaling downstream of RAS mutants; Signaling by RAF1 mutants; MAP2K and MAPK activation; Signaling by high-kinase activity BRAF mutants; GRB2:SOS provides linkage to MAPK signaling for Integrins ; p130Cas linkage to MAPK signaling for integrins; Platelet Adhesion to exposed collagen; Defective F8 cleavage by thrombin; Defective F8 binding to von Willebrand factor; GP1b-IX-V activation signalling,PI3K-Akt signaling pathway; Focal adhesion; ECM-receptor interaction; Complement and coagulation cascades; Platelet activation; Neutrophil extracellular trap formation; Human papillomavirus infection; Coronavirus disease
Q96TA1,Protein Niban 2 OS=Homo sapiens OX=9606 GN=NIBAN2 PE=1 SV=3,Protein Niban 2,Homo sapiens,cell-cell signaling;cell organization and biogenesis;transport;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;nucleus;other cell component,other molecular function,,,
B3KVN2,"Farnesyltransferase, CAAX box, alpha, isoform CRA_c OS=Homo sapiens OX=9606 GN=FNTA PE=1 SV=1","Farnesyltransferase, CAAX box, alpha, isoform CRA_c",Homo sapiens,protein metabolism;other metabolic processes,,other molecular function,Familial partial lipodystrophy (FPLD); Progeria-associated lipodystrophy; Acquired partial lipodystrophy / Barraquer-Simons syndrome,,
Q9NZM1,Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1,Myoferlin,Homo sapiens,cell organization and biogenesis;stress response;other biological processes,plasma membrane;other membranes;nucleus;other cell component,other molecular function,Aryl hydrocarbon receptor pathway; Nuclear receptors meta-pathway; Hepatitis C and hepatocellular carcinoma,,
Q92888,Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1 PE=1 SV=2,Rho guanine nucleotide exchange factor 1,Homo sapiens,signal transduction;other biological processes,plasma membrane;other membranes;cytosol;other cell component,signal transduction activity or receptor binding;enzyme regulator activity,G protein signaling pathways; EGF/EGFR signaling pathway; Regulation of actin cytoskeleton; G13 signaling pathway,RHOA GTPase cycle; G alpha (12/13) signalling events; RHOC GTPase cycle; NRAGE signals death through JNK; RHOB GTPase cycle,"Vascular smooth muscle contraction; Platelet activation; Regulation of actin cytoskeleton; Parathyroid hormone synthesis, secretion and action; Pathogenic Escherichia coli infection; Yersinia infection; Human cytomegalovirus infection; Pathways in cancer; Proteoglycans in cancer; Lipid and atherosclerosis"
P21266,Glutathione S-transferase Mu 3 OS=Homo sapiens OX=9606 GN=GSTM3 PE=1 SV=3,Glutathione S-transferase Mu 3,Homo sapiens,other metabolic processes;stress response;developmental processes;other biological processes,non-structural extracellular;cytosol;cytoskeleton;other cell component,other molecular function,Nuclear receptors meta-pathway; NRF2 pathway; Exercise-induced circadian regulation; Metapathway biotransformation Phase I and II,Glutathione conjugation,Glutathione metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism; Drug metabolism; Metabolic pathways; Platinum drug resistance; Pathways in cancer; Chemical carcinogenesis; Chemical carcinogenesis; Chemical carcinogenesis; Hepatocellular carcinoma; Fluid shear stress and atherosclerosis
Q9Y263,Phospholipase A-2-activating protein OS=Homo sapiens OX=9606 GN=PLAA PE=1 SV=2,Phospholipase A-2-activating protein,Homo sapiens,protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,non-structural extracellular;nucleus;other cell component,enzyme regulator activity;other molecular function,,,Protein processing in endoplasmic reticulum
Q13315,Serine-protein kinase ATM OS=Homo sapiens OX=9606 GN=ATM PE=1 SV=4,Serine-protein kinase ATM,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component,nucleic acid binding activity;kinase activity;other molecular function,"miRNA regulation of DNA damage response; miRNAs involved in DNA damage response; TP53 network; Cell cycle; Homologous recombination; Glioblastoma signaling pathways; ATM signaling pathway; DDX1 as a regulatory component of the Drosha microprocessor; Ovarian infertility; Pathways affected in adenoid cystic carcinoma; Hematopoietic stem cell gene regulation by GABP alpha/beta complex; ATM signaling in development and disease ; DNA IR-double strand breaks and cellular response via ATM; miRNA regulation of p53 pathway in prostate cancer; DNA IR-damage and cellular response via ATR; Breast cancer pathway; G1 to S cell cycle control; Joubert syndrome; Male infertility; DNA repair pathways, full network; Malignant pleural mesothelioma; SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome; NIPBL role in DNA damage - Cornelia de Lange syndrome; DNA damage response; DNA damage response (only ATM dependent)",TP53 Regulates Transcription of Caspase Activators and Caspases; Meiotic recombination; DNA Damage/Telomere Stress Induced Senescence; Nonhomologous End-Joining (NHEJ); Autodegradation of the E3 ubiquitin ligase COP1; TP53 Regulates Transcription of DNA Repair Genes; Regulation of TP53 Degradation; Regulation of TP53 Activity through Phosphorylation; Processing of DNA double-strand break ends; Regulation of HSF1-mediated heat shock response; Resolution of D-loop Structures through Holliday Junction Intermediates; Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; Regulation of TP53 Activity through Methylation; Presynaptic phase of homologous DNA pairing and strand exchange; G2/M DNA damage checkpoint; Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA); Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function; Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function; TP53 Regulates Transcription of Genes Involved in Cytochrome C Release; HDR through Single Strand Annealing (SSA); Sensing of DNA Double Strand Breaks; Pexophagy,Platinum drug resistance; Homologous recombination; NF-kappa B signaling pathway; FoxO signaling pathway; Cell cycle; p53 signaling pathway; Apoptosis; Cellular senescence; Shigellosis; Human papillomavirus infection; Human T-cell leukemia virus 1 infection; Human immunodeficiency virus 1 infection; Transcriptional misregulation in cancer; MicroRNAs in cancer
A0A2R8Y5V9,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=1,Tropomyosin alpha-4 chain,Homo sapiens,,cytoskeleton,cytoskeletal activity,,,
E9PMV2,"HLA class II histocompatibility antigen, DQ alpha 1 chain (Fragment) OS=Homo sapiens OX=9606 GN=HLA-DQA1 PE=1 SV=1","HLA class II histocompatibility antigen, DQ alpha 1 chain (Fragment)",Homo sapiens,other biological processes,plasma membrane;other membranes;other cytoplasmic organelle,other molecular function,Ebola virus pathway in host,,
P52788,Spermine synthase OS=Homo sapiens OX=9606 GN=SMS PE=1 SV=2,Spermine synthase,Homo sapiens,other metabolic processes,cytosol,other molecular function,Methionine de novo and salvage pathway; Amino acid metabolism,Metabolism of polyamines,Cysteine and methionine metabolism; Arginine and proline metabolism; Glutathione metabolism; Metabolic pathways
P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,Hemoglobin subunit alpha,Homo sapiens,other metabolic processes;stress response;transport;other biological processes,non-structural extracellular;cytosol;translational apparatus;other cell component,other molecular function,Selenium micronutrient network; Vitamin B12 metabolism; Folate metabolism; Effects of nitric oxide,Scavenging of heme from plasma; Cytoprotection by HMOX1; Heme signaling; Erythrocytes take up carbon dioxide and release oxygen; Erythrocytes take up oxygen and release carbon dioxide,African trypanosomiasis; Malaria
P07996,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,Thrombospondin-1,Homo sapiens,cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes,non-structural extracellular;extracellular matrix;plasma membrane;other membranes;cytosol;ER/Golgi;other cell component,signal transduction activity or receptor binding;other molecular function,Complement system; Bladder cancer; Apoptosis-related network due to altered Notch3 in ovarian cancer; miRNA targets in ECM and membrane receptors; Focal adhesion; TGF-beta signaling pathway; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; Inflammatory response pathway; Male infertility; TGF-beta receptor signaling in skeletal dysplasias; p53 transcriptional gene network; TGF-beta receptor signaling; Senescence and autophagy in cancer,Platelet degranulation ; Integrin cell surface interactions; Syndecan interactions; RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function; Defective B3GALTL causes Peters-plus syndrome (PpS); O-glycosylation of TSR domain-containing proteins; Signaling by PDGF,Rap1 signaling pathway; p53 signaling pathway; Phagosome; PI3K-Akt signaling pathway; TGF-beta signaling pathway; Focal adhesion; ECM-receptor interaction; Malaria; Human papillomavirus infection; Proteoglycans in cancer; MicroRNAs in cancer; Bladder cancer
Q9Y3C4,EKC/KEOPS complex subunit TPRKB OS=Homo sapiens OX=9606 GN=TPRKB PE=1 SV=1,EKC/KEOPS complex subunit TPRKB,Homo sapiens,cell organization and biogenesis;DNA metabolism;RNA metabolism OR transcription;other metabolic processes,cytosol;nucleus;other cell component,other molecular function,,tRNA modification in the nucleus and cytosol,
A0A4V7I447,Apolipoprotein B receptor OS=Homo sapiens OX=9606 GN=APOBR PE=1 SV=1,Apolipoprotein B receptor,Homo sapiens,transport,,other molecular function,,,
Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,Dihydropyrimidinase-related protein 2,Homo sapiens,cell organization and biogenesis;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton,cytoskeletal activity;other molecular function,Microtubule cytoskeleton regulation; Brain-derived neurotrophic factor (BDNF) signaling pathway,Recycling pathway of L1; CRMPs in Sema3A signaling,Axon guidance
J3KSB0,Serine/threonine-protein phosphatase 4 regulatory subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=PPP4R1 PE=1 SV=1,Serine/threonine-protein phosphatase 4 regulatory subunit 1 (Fragment),Homo sapiens,signal transduction,other cell component,enzyme regulator activity,16p11.2 proximal deletion syndrome,,
G3V180,Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=1,Dipeptidyl peptidase 3,Homo sapiens,protein metabolism,cytosol,other molecular function,,,
G3V1D1,Ferritin OS=Homo sapiens OX=9606 GN=FTH1 PE=1 SV=1,Ferritin,Homo sapiens,transport;other biological processes,,other molecular function,Iron metabolism in placenta; Nuclear receptors meta-pathway; NRF2 pathway; Ferroptosis,,
P12111,Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5,Collagen alpha-3(VI) chain,Homo sapiens,cell adhesion;cell organization and biogenesis;developmental processes;other biological processes,extracellular matrix;plasma membrane;other membranes;ER/Golgi;other cell component,enzyme regulator activity;extracellular structural activity,miRNA targets in ECM and membrane receptors; PI3K-Akt signaling pathway,Collagen degradation; Assembly of collagen fibrils and other multimeric structures; Integrin cell surface interactions; ECM proteoglycans; Collagen chain trimerization; Signaling by PDGF; NCAM1 interactions,PI3K-Akt signaling pathway; Focal adhesion; ECM-receptor interaction; Protein digestion and absorption; Human papillomavirus infection
P15311,Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,Ezrin,Homo sapiens,cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component,cytoskeletal activity;other molecular function,Pathogenic Escherichia coli infection; AGE/RAGE pathway; VEGFA-VEGFR2 signaling pathway; 16p11.2 proximal deletion syndrome; CCL18 signaling pathway; Regulation of actin cytoskeleton,Recycling pathway of L1; Sensory processing of sound by outer hair cells of the cochlea; Sensory processing of sound by inner hair cells of the cochlea; Netrin-1 signaling,Tight junction; Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Gastric acid secretion; Pathogenic Escherichia coli infection; Proteoglycans in cancer; MicroRNAs in cancer
O14957,Cytochrome b-c1 complex subunit 10 OS=Homo sapiens OX=9606 GN=UQCR11 PE=1 SV=1,Cytochrome b-c1 complex subunit 10,Homo sapiens,other metabolic processes;transport,other membranes;mitochondrion,transporter activity;other molecular function,Electron transport chain: OXPHOS system in mitochondria; Nonalcoholic fatty liver disease; Mitochondrial complex III assembly,Respiratory electron transport,Oxidative phosphorylation; Metabolic pathways; Cardiac muscle contraction; Thermogenesis; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration; Chemical carcinogenesis; Diabetic cardiomyopathy
Q9BTE6,Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2,Alanyl-tRNA editing protein Aarsd1,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes,other cell component,nucleic acid binding activity;other molecular function,,,
E7ENU9,Macrophage-capping protein (Fragment) OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=1,Macrophage-capping protein (Fragment),Homo sapiens,cell organization and biogenesis;other biological processes,nucleus;other cell component,cytoskeletal activity,TYROBP causal network in microglia,,
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,Neuroblast differentiation-associated protein AHNAK,Homo sapiens,other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component,other molecular function,,,Salmonella infection
Q9NZZ3,Charged multivesicular body protein 5 OS=Homo sapiens OX=9606 GN=CHMP5 PE=1 SV=1,Charged multivesicular body protein 5,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes,other membranes;cytosol;nucleus;other cytoplasmic organelle,,,Budding and maturation of HIV virion; Endosomal Sorting Complex Required For Transport (ESCRT),Endocytosis; Necroptosis
Q12996,Cleavage stimulation factor subunit 3 OS=Homo sapiens OX=9606 GN=CSTF3 PE=1 SV=1,Cleavage stimulation factor subunit 3,Homo sapiens,RNA metabolism OR transcription;other metabolic processes,nucleus,nucleic acid binding activity,mRNA processing,mRNA Splicing - Major Pathway; mRNA 3'-end processing; RNA Polymerase II Transcription Termination; Processing of Intronless Pre-mRNAs,mRNA surveillance pathway
P60903,Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2,Protein S100-A10,Homo sapiens,cell organization and biogenesis;transport;other biological processes,non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cell component,other molecular function,Prostaglandin synthesis and regulation,Dissolution of Fibrin Clot,Salmonella infection
P17858,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6","ATP-dependent 6-phosphofructokinase, liver type",Homo sapiens,other metabolic processes;transport;other biological processes,non-structural extracellular;cytosol;other cell component,kinase activity;other molecular function,Photodynamic therapy-induced HIF-1 survival signaling; Clear cell renal cell carcinoma pathways; Metabolic reprogramming in colon cancer; Insulin signaling; Glycolysis and gluconeogenesis,Glycolysis; Neutrophil degranulation,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism; Metabolic pathways; Carbon metabolism; Biosynthesis of amino acids; RNA degradation; HIF-1 signaling pathway; AMPK signaling pathway; Thyroid hormone signaling pathway; Glucagon signaling pathway; Central carbon metabolism in cancer
Q9Y678,Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1,Coatomer subunit gamma-1,Homo sapiens,transport;other biological processes,other membranes;cytosol;ER/Golgi,other molecular function,VEGFA-VEGFR2 signaling pathway,COPI-dependent Golgi-to-ER retrograde traffic; COPI-mediated anterograde transport,
D6REB4,Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens OX=9606 GN=PAIP1 PE=1 SV=1,Polyadenylate-binding protein-interacting protein 1,Homo sapiens,,,nucleic acid binding activity,,,
Q07065,Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2,Cytoskeleton-associated protein 4,Homo sapiens,protein metabolism;other metabolic processes;transport,plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component,,,Neutrophil degranulation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; RND2 GTPase cycle; RND3 GTPase cycle; Surfactant metabolism,Protein processing in endoplasmic reticulum
Q9NZD4,Alpha-hemoglobin-stabilizing protein OS=Homo sapiens OX=9606 GN=AHSP PE=1 SV=1,Alpha-hemoglobin-stabilizing protein,Homo sapiens,protein metabolism;other metabolic processes;developmental processes;other biological processes,cytosol;other cell component,other molecular function,,,
O75368,SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens OX=9606 GN=SH3BGRL PE=1 SV=1,SH3 domain-binding glutamic acid-rich-like protein,Homo sapiens,,nucleus;other cell component,other molecular function,,,
Q13228,Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2,Methanethiol oxidase,Homo sapiens,transport,other membranes;cytosol;nucleus,other molecular function,IL1 and megakaryocytes in obesity,,Sulfur metabolism; Metabolic pathways
A0A3B3IS47,Collagen alpha-2(IV) chain (Fragment) OS=Homo sapiens OX=9606 GN=COL4A2 PE=1 SV=1,Collagen alpha-2(IV) chain (Fragment),Homo sapiens,,extracellular matrix;other membranes;other cell component,extracellular structural activity,miRNA targets in ECM and membrane receptors; Hepatitis C and hepatocellular carcinoma; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; Epithelial to mesenchymal transition in colorectal cancer; Malignant pleural mesothelioma,,
P50552,Vasodilator-stimulated phosphoprotein OS=Homo sapiens OX=9606 GN=VASP PE=1 SV=3,Vasodilator-stimulated phosphoprotein,Homo sapiens,cell organization and biogenesis;developmental processes,plasma membrane;other membranes;cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,Integrin-mediated cell adhesion; Focal adhesion,Generation of second messenger molecules; Signaling by ROBO receptors; Cell-extracellular matrix interactions,Rap1 signaling pathway; cGMP-PKG signaling pathway; Focal adhesion; Tight junction; Platelet activation; Fc gamma R-mediated phagocytosis; Leukocyte transendothelial migration
M0R3F1,Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=1,Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Fragment),Homo sapiens,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus,,,,
P61011,Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1,Signal recognition particle 54 kDa protein,Homo sapiens,cell organization and biogenesis;transport;developmental processes;other biological processes,cytosol;ER/Golgi;translational apparatus;nucleus;other cell component,nucleic acid binding activity;other molecular function,VEGFA-VEGFR2 signaling pathway; mRNA processing,SRP-dependent cotranslational protein targeting to membrane,Protein export
P51884,Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2,Lumican,Homo sapiens,cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes,extracellular matrix;ER/Golgi;other cytoplasmic organelle,extracellular structural activity;other molecular function,,Integrin cell surface interactions; ECM proteoglycans; Keratan sulfate biosynthesis; Keratan sulfate degradation; Defective CHST6 causes MCDC1; Defective ST3GAL3 causes MCT12 and EIEE15; Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),Proteoglycans in cancer
P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Homo sapiens,protein metabolism;other metabolic processes;other biological processes,other membranes;cytosol;ER/Golgi;other cell component,,Proteasome degradation,SRP-dependent cotranslational protein targeting to membrane; Asparagine N-linked glycosylation; Maturation of spike protein,N-Glycan biosynthesis; Various types of N-glycan biosynthesis; Metabolic pathways; Protein processing in endoplasmic reticulum
